,0001,SIGLA,NOME,DEFERIMENTO,PRES. NACIONAL ,Nº DA LEGENDA,tseurl
0,1,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,30.6.1981,ROMERO JUCÁ,15,http://www.tse.jus.br/partidos/partidos-politicos/partido-do-movimento-democratico-brasileiro
1,2,PTB,PARTIDO TRABALHISTA BRASILEIRO,3.11.1981,ROBERTO JEFFERSON MONTEIRO FRANCISCO,14,http://www.tse.jus.br/partidos/partidos-politicos/partido-trabalhista-brasileiro
2,3,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,10.11.1981,CARLOS LUPI,12,http://www.tse.jus.br/partidos/partidos-politicos/partido-democratico-trabalhista
3,4,PT,PARTIDO DOS TRABALHADORES,11.2.1982,RUI GOETHE DA COSTA FALCAO,13,http://www.tse.jus.br/partidos/partidos-politicos/partido-dos-trabalhadores
4,5,DEM,DEMOCRATAS,11.9.1986,JOSÉ AGRIPINO MAIA,25,http://www.tse.jus.br/partidos/partidos-politicos/democratas
5,6,PCdoB,PARTIDO COMUNISTA DO BRASIL,23.6.1988,LUCIANA BARBOSA DE OLIVEIRA SANTOS,65,http://www.tse.jus.br/partidos/partidos-politicos/partido-comunista-do-brasil
6,7,PSB,PARTIDO SOCIALISTA BRASILEIRO,1°.7.1988,CARLOS ROBERTO SIQUEIRA DE BARROS,40,http://www.tse.jus.br/partidos/partidos-politicos/partido-socialista-brasileiro
7,8,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24.8.1989,AÉCIO NEVES DA CUNHA,45,http://www.tse.jus.br/partidos/partidos-politicos/partido-da-social-democracia-brasileira
8,9,PTC,PARTIDO TRABALHISTA CRISTÃO,22.2.1990,DANIEL S. TOURINHO,36,http://www.tse.jus.br/partidos/partidos-politicos/partido-trabalhista-cristao
9,10,PSC,PARTIDO SOCIAL CRISTÃO,29.3.1990,EVERALDO DIAS PEREIRA,20,http://www.tse.jus.br/partidos/partidos-politicos/partido-social-cristao
10,11,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,25.10.1990,ANTONIO CARLOS BOSCO MASSAROLLO,33,http://www.tse.jus.br/partidos/partidos-politicos/partido-da-mobilizacao-nacional
11,12,PRP,PARTIDO REPUBLICANO PROGRESSISTA,29.10.1991,OVASCO ROMA ALTIMARI RESENDE,44,http://www.tse.jus.br/partidos/partidos-politicos/partido-republicano-progressista
12,13,PPS,PARTIDO POPULAR SOCIALISTA,19.3.1992,ROBERTO JOÃO PEREIRA FREIRE,23,http://www.tse.jus.br/partidos/partidos-politicos/partido-popular-socialista
13,14,PV,PARTIDO VERDE,30.9.1993,JOSÉ LUIZ DE FRANÇA PENNA,43,http://www.tse.jus.br/partidos/partidos-politicos/partido-verde
14,15,PTdoB,PARTIDO TRABALHISTA DO BRASIL,11.10.1994,LUIS HENRIQUE DE OLIVEIRA RESENDE,70,http://www.tse.jus.br/partidos/partidos-politicos/partido-trabalhista-do-brasil
15,16,PP,PARTIDO PROGRESSISTA,16.11.1995,CIRO NOGUEIRA LIMA FILHO,11,http://www.tse.jus.br/partidos/partidos-politicos/partido-progressista
16,17,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,19.12.1995,JOSÉ MARIA DE ALMEIDA,16,http://www.tse.jus.br/partidos/partidos-politicos/partido-socialista-dos-trabalhadores-unificado
17,18,PCB,PARTIDO COMUNISTA BRASILEIRO,9.5.1996,EDMILSON SILVA COSTA*,21,http://www.tse.jus.br/partidos/partidos-politicos/partido-comunista-brasileiro
18,19,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,18.2.1997,JOSÉ LEVY FIDELIX DA CRUZ,28,http://www.tse.jus.br/partidos/partidos-politicos/partido-renovador-trabalhista-brasileiro
19,20,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,20.3.1997,EDUARDO MACHADO E SILVA RODRIGUES,31,http://www.tse.jus.br/partidos/partidos-politicos/partido-humanista-da-solidariedade
20,21,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTÃO,5.8.1997,JOSÉ MARIA EYMAEL,27,http://www.tse.jus.br/partidos/partidos-politicos/partido-social-democrata-cristao
21,22,PCO,PARTIDO DA CAUSA OPERÁRIA,30.9.1997,RUI COSTA PIMENTA,29,http://www.tse.jus.br/partidos/partidos-politicos/partido-da-causa-operaria
22,23,PODE,PODEMOS,2.10.1997,RENATA HELLMEISTER DE ABREU,19,http://www.tse.jus.br/partidos/partidos-politicos/partido-trabalhista-nacional
23,24,PSL,PARTIDO SOCIAL LIBERAL,2.6.1998,ANTONIO EDUARDO GONÇALVES DE RUEDA,17,http://www.tse.jus.br/partidos/partidos-politicos/partido-social-liberal
24,25,PRB,PARTIDO REPUBLICANO BRASILEIRO,25.8.2005,EDUARDO BENEDITO LOPES,10,http://www.tse.jus.br/partidos/partidos-politicos/partido-republicano-brasileiro
25,26,PSOL,PARTIDO SOCIALISMO E LIBERDADE,15.9.2005,RAIMUNDO LUIZ SILVA ARAÚJO,50,http://www.tse.jus.br/partidos/partidos-politicos/partido-socialismo-e-liberdade
26,27,PR,PARTIDO DA REPÚBLICA,19.12.2006,ANTONIO CARLOS RODRIGUES,22,http://www.tse.jus.br/partidos/partidos-politicos/partido-da-republica
27,28,PSD,PARTIDO SOCIAL DEMOCRÁTICO,27.9.2011,ALFREDO COTAIT NETO,55,http://www.tse.jus.br/partidos/partidos-politicos/partido-social-democratico
28,29,PPL,PARTIDO PÁTRIA LIVRE,4.10.2011,SÉRGIO RUBENS DE ARAÚJO TORRES,54,http://www.tse.jus.br/partidos/partidos-politicos/partido-patria-livre-ppl
29,30,PEN,PARTIDO ECOLÓGICO NACIONAL,19.6.2012,ADILSON BARROSO OLIVEIRA,51,http://www.tse.jus.br/partidos/partidos-politicos/partido-ecologico-nacional
30,31,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,24.9.2013,EURÍPEDES G.DE MACEDO JÚNIOR,90,http://www.tse.jus.br/partidos/partidos-politicos/partido-republicano-da-ordem-social
31,32,SD,SOLIDARIEDADE,24.9.2013,PAULO PEREIRA DA SILVA,77,http://www.tse.jus.br/partidos/partidos-politicos/solidariedade
32,33,NOVO,PARTIDO NOVO,15.9.2015,JOÃO DIONÍSIO FILGUEIRA B. AMOÊDO,30,http://www.tse.jus.br/partidos/partidos-politicos/partido-novo
33,34,REDE,REDE SUSTENTABILIDADE,22.9.2015,JOSÉ GUSTAVO FÁVARO BARBOSA SILVA,18,http://www.tse.jus.br/partidos/partidos-politicos/rede
34,35,PMB,PARTIDO DA MULHER BRASILEIRA,29.9.2015,SUÊD HAIDAR NOGUEIRA,35,http://www.tse.jus.br/partidos/partidos-politicos/partido-da-mulher-brasileira
